timestamp,open,high,low,close,volume
2025-11-10 04:00:00,675.6200,676.9300,675.6200,676.8500,7003
2025-11-10 04:01:00,676.8900,676.9000,676.8700,676.9000,1507
2025-11-10 04:02:00,676.9700,676.9700,676.8000,676.8000,3531
2025-11-10 04:03:00,676.8500,677.0000,676.8500,676.9900,243
2025-11-10 04:04:00,677.0100,677.0700,677.0000,677.0700,850
2025-11-10 04:05:00,677.0700,677.1600,677.0100,677.1600,1385
2025-11-10 04:06:00,677.1800,677.2000,677.0300,677.2000,2680
2025-11-10 04:07:00,677.0900,677.0900,677.0000,677.0100,2350
2025-11-10 04:08:00,677.0000,677.0700,676.9900,677.0000,2506
2025-11-10 04:09:00,676.9800,677.0500,676.9500,676.9500,2440
2025-11-10 04:10:00,677.0000,677.0100,676.9200,676.9200,3458
2025-11-10 04:11:00,677.0200,677.0300,676.9400,677.0300,3858
2025-11-10 04:12:00,677.0000,677.2200,677.0000,677.1900,3378
2025-11-10 04:13:00,677.2000,677.2400,677.2000,677.2400,1060
2025-11-10 04:14:00,677.2300,677.2500,677.2200,677.2500,3803
2025-11-10 04:15:00,677.2300,677.4000,677.2300,677.4000,886
2025-11-10 04:16:00,677.3900,677.6700,677.3800,677.5500,2092
2025-11-10 04:17:00,677.5800,677.6800,677.5700,677.6800,4437
2025-11-10 04:18:00,677.6000,677.6000,677.6000,677.6000,516
2025-11-10 04:19:00,677.5700,677.7000,677.5500,677.7000,1156
2025-11-10 04:20:00,677.7200,677.9400,677.7000,677.7300,5181
2025-11-10 04:21:00,677.7000,677.7000,677.6600,677.6600,200
2025-11-10 04:22:00,677.5600,677.5700,677.5600,677.5600,335
2025-11-10 04:23:00,677.5100,677.5100,677.3000,677.3400,800
2025-11-10 04:24:00,677.3400,677.4500,677.3300,677.4500,2500
2025-11-10 04:25:00,677.5000,677.5000,677.4200,677.4200,320
2025-11-10 04:26:00,677.4300,677.4700,677.2300,677.3000,2801
2025-11-10 04:27:00,677.3500,677.4400,677.2800,677.2800,319
2025-11-10 04:28:00,677.2800,677.3000,677.2500,677.2800,7513
2025-11-10 04:29:00,677.2700,677.3400,677.2700,677.3400,795
2025-11-10 04:30:00,677.3400,677.3600,677.3300,677.3400,1815
2025-11-10 04:31:00,677.3100,677.3100,677.2400,677.2400,2025
2025-11-10 04:32:00,677.2700,677.4200,677.2700,677.3500,4270
2025-11-10 04:33:00,677.2200,677.3700,677.2000,677.2800,3233
2025-11-10 04:34:00,677.2000,677.2000,677.1900,677.1900,279
2025-11-10 04:35:00,677.2900,677.2900,677.2900,677.2900,100
2025-11-10 04:37:00,677.2900,677.3400,677.2400,677.2400,590
2025-11-10 04:38:00,677.2000,677.2700,677.2000,677.2100,1813
2025-11-10 04:39:00,677.3400,677.4000,677.3400,677.3700,790
2025-11-10 04:40:00,677.4000,677.4000,677.4000,677.4000,200
2025-11-10 04:41:00,677.4600,677.4600,677.4600,677.4600,537
2025-11-10 04:42:00,677.5200,677.5200,677.4700,677.4800,380
2025-11-10 04:43:00,677.3800,677.3800,677.3800,677.3800,245
